time, x, xd
1.715000, 2.868583, 8.380216
1.726000, 2.960222, 8.271536
1.737000, 3.050666, 8.162856
1.748000, 3.139914, 8.054176
1.759000, 3.227966, 7.945496
1.770000, 3.314823, 7.836816
1.781000, 3.400485, 7.728136
1.792000, 3.484951, 7.619456
1.803000, 3.568222, 7.510776
1.814000, 3.650297, 7.402096
1.825000, 3.731177, 7.293416
1.836000, 3.810861, 7.184736
1.847000, 3.889349, 7.076056
1.858000, 3.966643, 6.967376
1.869000, 4.042740, 6.858696
1.880000, 4.117643, 6.750016
1.891000, 4.191349, 6.641336
1.902000, 4.263861, 6.532656
1.913000, 4.335177, 6.423976
1.924000, 4.405297, 6.315296
1.935000, 4.474222, 6.206616
1.946000, 4.541951, 6.097936
1.957000, 4.608485, 5.989256
1.968000, 4.673823, 5.880576
1.979000, 4.737966, 5.771896
1.990000, 4.800914, 5.663216
2.001000, 4.862666, 5.554536
2.012000, 4.923222, 5.445856
2.023000, 4.982583, 5.337176
2.034000, 5.040749, 5.228496
2.045000, 5.097719, 5.119816
2.056000, 5.153493, 5.011136
2.067000, 5.208073, 4.902456
2.078000, 5.261456, 4.793776
2.089000, 5.313644, 4.685096
2.100000, 5.364637, 4.576416
2.111000, 5.414434, 4.467736
2.122000, 5.463036, 4.359056
2.133000, 5.510442, 4.250376
2.144000, 5.556653, 4.141696
2.155000, 5.601668, 4.033016
2.166000, 5.645488, 3.924336
2.177000, 5.688112, 3.815656
2.188000, 5.729541, 3.706976
2.199000, 5.769774, 3.598296
2.210000, 5.808812, 3.489616
2.221000, 5.846655, 3.380936
2.232000, 5.883301, 3.272256
2.243000, 5.918753, 3.163576
2.254000, 5.953009, 3.054896
2.265000, 5.986069, 2.946216
2.276000, 6.017934, 2.837536
2.287000, 6.048604, 2.728856
2.298000, 6.078078, 2.620176
2.309000, 6.106356, 2.511496
2.320000, 6.133439, 2.402816
2.331000, 6.159327, 2.294136
2.342000, 6.184019, 2.185456
2.353000, 6.207516, 2.076776
2.364000, 6.229817, 1.968096
2.375000, 6.250922, 1.859416
2.386000, 6.270833, 1.750736
2.397000, 6.289547, 1.642056
2.408000, 6.307066, 1.533376
2.419000, 6.323390, 1.424696
2.430000, 6.338518, 1.316016
2.441000, 6.352451, 1.207336
2.452000, 6.365189, 1.098656
2.463000, 6.376730, 0.989976
2.474000, 6.387077, 0.881296
2.485000, 6.396228, 0.772616
2.496000, 6.404183, 0.663936
2.507000, 6.410943, 0.555256
2.518000, 6.416507, 0.446576
2.529000, 6.420876, 0.337896
2.540000, 6.424050, 0.229216
2.551000, 6.426028, 0.120536
2.562000, 6.426810, 0.011856
2.573000, 6.426397, -0.096824
2.584000, 6.424789, -0.205504
2.595000, 6.421985, -0.314184
2.606000, 6.417985, -0.422864
2.617000, 6.412790, -0.531544
2.628000, 6.406400, -0.640224
2.639000, 6.398814, -0.748904
2.650000, 6.390033, -0.857584
2.661000, 6.380056, -0.966264
2.672000, 6.368884, -1.074944
2.683000, 6.356516, -1.183624
2.694000, 6.342953, -1.292304
2.705000, 6.328194, -1.400984
2.716000, 6.312240, -1.509664
2.727000, 6.295090, -1.618344
2.738000, 6.276745, -1.727024
2.749000, 6.257204, -1.835704
2.760000, 6.236468, -1.944384
2.771000, 6.214536, -2.053064
2.782000, 6.191409, -2.161744
2.793000, 6.167087, -2.270424
2.804000, 6.141569, -2.379104
2.815000, 6.114855, -2.487784
2.826000, 6.086946, -2.596464
2.837000, 6.057841, -2.705144
2.848000, 6.027542, -2.813824
2.859000, 5.996046, -2.922504
2.870000, 5.963355, -3.031184
2.881000, 5.929469, -3.139864
2.892000, 5.894387, -3.248544
2.903000, 5.858109, -3.357224
2.914000, 5.820637, -3.465904
2.925000, 5.781968, -3.574584
2.936000, 5.742104, -3.683264
2.947000, 5.701045, -3.791944
2.958000, 5.658790, -3.900624
2.969000, 5.615340, -4.009304
2.980000, 5.570694, -4.117984
2.991000, 5.524853, -4.226664
3.002000, 5.477816, -4.335344
3.013000, 5.429584, -4.444024
3.024000, 5.380156, -4.552704
3.035000, 5.329533, -4.661384
3.046000, 5.277715, -4.770064
3.057000, 5.224701, -4.878744
3.068000, 5.170491, -4.987424
3.079000, 5.115086, -5.096104
3.090000, 5.058485, -5.204784
3.101000, 5.000689, -5.313464
3.112000, 4.941698, -5.422144
3.123000, 4.881511, -5.530824
3.134000, 4.820128, -5.639504
3.145000, 4.757550, -5.748184
3.156000, 4.693777, -5.856864
3.167000, 4.628808, -5.965544
3.178000, 4.562644, -6.074224
3.189000, 4.495284, -6.182904
3.200000, 4.426729, -6.291584
3.211000, 4.356978, -6.400264
3.222000, 4.286031, -6.508944
3.233000, 4.213890, -6.617624
3.244000, 4.140552, -6.726304
3.255000, 4.066020, -6.834984
3.266000, 3.990291, -6.943664
3.277000, 3.913368, -7.052344
3.288000, 3.835249, -7.161024
3.299000, 3.755934, -7.269704
3.310000, 3.675424, -7.378384
3.321000, 3.593718, -7.487064
3.332000, 3.510817, -7.595744
3.343000, 3.426720, -7.704424
3.354000, 3.341428, -7.813104
3.365000, 3.254941, -7.921784
3.376000, 3.167258, -8.030464
3.387000, 3.078379, -8.139144
3.398000, 2.988305, -8.247824
3.409000, 2.897036, -8.356504
3.420000, 2.804571, -8.465184
3.431000, 2.710910, -8.573864
3.442000, 2.616055, -8.682544
3.453000, 2.520003, -8.791224
3.464000, 2.422756, -8.899904
3.475000, 2.324314, -9.008584
3.486000, 2.224676, -9.117264
3.497000, 2.123843, -9.225944
3.508000, 2.021814, -9.334624
3.519000, 1.918590, -9.443304
3.530000, 1.814170, -9.551984
3.541000, 1.708555, -9.660664
3.552000, 1.601744, -9.769344
3.563000, 1.493738, -9.878024
3.574000, 1.384536, -9.986704
3.585000, 1.274139, -10.095384
3.596000, 1.162547, -10.204064
3.607000, 1.049758, -10.312744
3.618000, 0.935775, -10.421424
3.629000, 0.820596, -10.530104
3.640000, 0.704221, -10.638784
3.651000, 0.586651, -10.747464
3.662000, 0.467886, -10.856144
3.673000, 0.347925, -10.964824
3.684000, 0.226768, -11.073504
3.695000, 0.104416, -11.182184
3.706000, 0.016875, 9.014907
3.717000, 0.115496, 8.906227
3.728000, 0.212921, 8.797547
3.739000, 0.309150, 8.688867
3.750000, 0.404184, 8.580187
3.761000, 0.498023, 8.471507
3.772000, 0.590666, 8.362827
3.783000, 0.682114, 8.254147
3.794000, 0.772366, 8.145467
3.805000, 0.861423, 8.036787
3.816000, 0.949284, 7.928107
3.827000, 1.035950, 7.819427
3.838000, 1.121420, 7.710747
3.849000, 1.205695, 7.602067
3.860000, 1.288774, 7.493387
3.871000, 1.370658, 7.384707
3.882000, 1.451347, 7.276027
3.893000, 1.530839, 7.167347
3.904000, 1.609137, 7.058667
3.915000, 1.686239, 6.949987
3.926000, 1.762145, 6.841307
3.937000, 1.836856, 6.732627
3.948000, 1.910372, 6.623947
